frame,person,point,confidence,x,y,z
0.0,0.0,0.0,0.9954572916030884,331.3307189941406,120.33316802978516,-0.8376599550247192
0.0,0.0,1.0,0.9873513579368591,343.0230407714844,104.05989837646484,-0.7813858389854431
0.0,0.0,2.0,0.9872168898582458,350.1110534667969,104.8104248046875,-0.7821527123451233
0.0,0.0,3.0,0.98832768201828,359.1011962890625,106.03274536132812,-0.7821956276893616
0.0,0.0,4.0,0.9914690852165222,319.2164306640625,103.28619384765625,-0.7818583250045776
0.0,0.0,5.0,0.9940845370292664,311.606201171875,104.14395141601562,-0.7827925682067871
0.0,0.0,6.0,0.9949404001235962,304.92498779296875,104.62901306152344,-0.7835463881492615
0.0,0.0,7.0,0.9950763583183289,368.39788818359375,116.20159149169922,-0.43298062682151794
0.0,0.0,8.0,0.9907563328742981,292.3592529296875,114.6550064086914,-0.4343455731868744
0.0,0.0,9.0,0.9967435598373413,345.5737609863281,142.27352905273438,-0.6975952982902527
0.0,0.0,10.0,0.9963586926460266,315.9777526855469,140.9722442626953,-0.7033290863037109
0.0,0.0,11.0,0.9990094900131226,427.29852294921875,232.89842224121094,-0.21561822295188904
0.0,0.0,12.0,0.9987415671348572,231.0576629638672,233.2144317626953,-0.2083507776260376
0.0,0.0,13.0,0.9516304135322571,461.5156555175781,386.7742614746094,-0.3078075349330902
0.0,0.0,14.0,0.8859506845474243,190.06228637695312,380.7050476074219,-0.35254967212677
0.0,0.0,15.0,0.8525345921516418,364.89190673828125,416.6371154785156,-0.8102239370346069
0.0,0.0,16.0,0.8992286920547485,268.42431640625,410.7437744140625,-0.9290000796318054
0.0,0.0,17.0,0.8265582323074341,332.2454833984375,441.2479553222656,-0.9462043642997742
0.0,0.0,18.0,0.8900395035743713,293.9816589355469,438.55816650390625,-1.0927505493164062
0.0,0.0,19.0,0.8435187935829163,326.8289489746094,419.0606994628906,-0.9786532521247864
0.0,0.0,20.0,0.9024232625961304,306.87237548828125,413.18060302734375,-1.113340139389038
0.0,0.0,21.0,0.7814618349075317,332.8839111328125,408.3313293457031,-0.8303926587104797
0.0,0.0,22.0,0.8530172109603882,300.1447448730469,402.7264709472656,-0.9512235522270203
0.0,0.0,23.0,0.886316180229187,385.2557067871094,495.5387878417969,0.011273758485913277
0.0,0.0,24.0,0.9013634920120239,260.86090087890625,492.4490661621094,-0.01154307834804058
0.0,0.0,25.0,0.06520877033472061,377.3011779785156,715.7672729492188,-0.07033924013376236
0.0,0.0,26.0,0.0764143094420433,252.3583984375,691.80712890625,-0.14436085522174835
0.0,0.0,27.0,0.006701786536723375,361.1513671875,881.3392333984375,0.4421630799770355
0.0,0.0,28.0,0.0073708477430045605,244.12432861328125,870.0739135742188,0.4913862347602844
0.0,0.0,29.0,0.006340561434626579,361.9232177734375,904.58251953125,0.47826963663101196
0.0,0.0,30.0,0.006271655671298504,243.59036254882812,894.6764526367188,0.5461025238037109
0.0,0.0,31.0,0.005444018170237541,333.6273193359375,934.8411865234375,0.1701919585466385
0.0,0.0,32.0,0.0042482404969632626,252.217041015625,931.4456176757812,0.2697848081588745
0.0,0.0,33.0,1.0,326.9688415527344,131.4361572265625,-0.023798277601599693
0.0,0.0,34.0,1.0,299.7393493652344,104.55358123779297,0.014905060641467571
0.0,0.0,35.0,1.0,325.0928039550781,67.13959503173828,0.018476173281669617
0.0,0.0,36.0,1.0,327.63873291015625,136.10789489746094,-0.020053483545780182
0.0,0.0,37.0,1.0,327.6561279296875,136.22607421875,-0.01981806941330433
0.0,0.0,38.0,1.0,327.9864807128906,141.2922821044922,-0.023975184187293053
0.0,0.0,39.0,1.0,284.1061706542969,93.39514923095703,0.050041016191244125
0.0,0.0,40.0,1.0,298.31854248046875,104.0255126953125,0.017009081318974495
0.0,0.0,41.0,1.0,322.028076171875,131.12997436523438,-0.023030921816825867
0.0,0.0,42.0,1.0,317.2255554199219,133.83790588378906,-0.020272979512810707
0.0,0.0,43.0,1.0,314.21575927734375,136.69764709472656,-0.01657126285135746
0.0,0.0,44.0,1.0,292.2694396972656,97.37955474853516,0.01566965878009796
0.0,0.0,45.0,1.0,301.8212890625,92.0555419921875,0.0075455233454704285
0.0,0.0,46.0,1.0,296.1959533691406,93.96464538574219,0.011350112967193127
0.0,0.0,47.0,1.0,288.0417785644531,84.76656341552734,0.04186312109231949
0.0,0.0,48.0,1.0,318.70526123046875,94.0716781616211,0.002518444787710905
0.0,0.0,49.0,1.0,288.929931640625,150.59835815429688,0.039808012545108795
0.0,0.0,50.0,1.0,311.5114440917969,141.3425750732422,-0.008768800646066666
0.0,0.0,51.0,1.0,293.9079895019531,92.18589782714844,0.01556482259184122
0.0,0.0,52.0,1.0,309.2010803222656,91.95817565917969,0.00462427269667387
0.0,0.0,53.0,1.0,308.4131774902344,89.14441680908203,0.004990563727915287
0.0,0.0,54.0,1.0,303.5513916015625,71.76251220703125,0.02399681694805622
0.0,0.0,55.0,1.0,289.7510681152344,96.60020446777344,0.02168419398367405
0.0,0.0,56.0,1.0,312.90130615234375,140.53382873535156,-0.010404138825833797
0.0,0.0,57.0,1.0,317.3262939453125,138.21644592285156,-0.015173211693763733
0.0,0.0,58.0,1.0,320.1886291503906,137.1243896484375,-0.017531538382172585
0.0,0.0,59.0,1.0,323.68524169921875,136.4530029296875,-0.01950276829302311
0.0,0.0,60.0,1.0,323.5986633300781,141.5773162841797,-0.02371382527053356
0.0,0.0,61.0,1.0,323.7197570800781,136.54946899414062,-0.019255923107266426
0.0,0.0,62.0,1.0,317.328369140625,138.17906188964844,-0.014971756376326084
0.0,0.0,63.0,1.0,316.04571533203125,141.623291015625,-0.017719916999340057
0.0,0.0,64.0,1.0,282.84295654296875,131.3236846923828,0.05832716450095177
0.0,0.0,65.0,1.0,315.2303771972656,139.30967712402344,-0.012315061874687672
0.0,0.0,66.0,1.0,294.2851257324219,77.42948913574219,0.032250676304101944
0.0,0.0,67.0,1.0,300.3461608886719,89.52654266357422,0.010375931859016418
0.0,0.0,68.0,1.0,317.27374267578125,89.49679565429688,0.002470209961757064
0.0,0.0,69.0,1.0,313.4099426269531,68.56845092773438,0.019170401617884636
0.0,0.0,70.0,1.0,281.302490234375,112.68671417236328,0.0632103756070137
0.0,0.0,71.0,1.0,285.1631774902344,140.9613037109375,0.050649479031562805
0.0,0.0,72.0,1.0,314.6001281738281,103.1348876953125,0.013165025040507317
0.0,0.0,73.0,1.0,299.23223876953125,161.3603973388672,0.01419921312481165
0.0,0.0,74.0,1.0,303.164794921875,104.87843322753906,0.01131262257695198
0.0,0.0,75.0,1.0,306.0857849121094,104.80878448486328,0.010004216805100441
0.0,0.0,76.0,1.0,313.54437255859375,141.5955810546875,-0.01310552004724741
0.0,0.0,77.0,1.0,323.8653564453125,168.76368713378906,-0.017374899238348007
0.0,0.0,78.0,1.0,311.4927673339844,166.48281860351562,-0.003694270271807909
0.0,0.0,79.0,1.0,305.9304504394531,164.57940673828125,0.004240700975060463
0.0,0.0,80.0,1.0,331.9806213378906,168.64027404785156,-0.01897643320262432
0.0,0.0,81.0,1.0,308.9556579589844,104.48218536376953,0.010080724023282528
0.0,0.0,82.0,1.0,311.5848083496094,103.94894409179688,0.011253679171204567
0.0,0.0,83.0,1.0,313.4865417480469,103.57206726074219,0.012824753299355507
0.0,0.0,84.0,1.0,311.4749755859375,101.00364685058594,0.011586741544306278
0.0,0.0,85.0,1.0,308.54656982421875,100.22006225585938,0.010580185800790787
0.0,0.0,86.0,1.0,305.5806884765625,100.17642211914062,0.010581554844975471
0.0,0.0,87.0,1.0,302.47210693359375,101.00305938720703,0.011556870304048061
0.0,0.0,88.0,1.0,300.4640197753906,102.17486572265625,0.013122621923685074
0.0,0.0,89.0,1.0,282.0366516113281,102.16312408447266,0.05837012454867363
0.0,0.0,90.0,1.0,301.1627197265625,104.75350952148438,0.013158125802874565
0.0,0.0,91.0,1.0,293.8168029785156,157.33607482910156,0.02680225856602192
0.0,0.0,92.0,1.0,313.58526611328125,102.22920989990234,0.012584489770233631
0.0,0.0,93.0,1.0,317.3316650390625,167.8582000732422,-0.011794724501669407
0.0,0.0,94.0,1.0,320.1980895996094,137.14541625976562,-0.017325524240732193
0.0,0.0,95.0,1.0,319.49310302734375,141.69842529296875,-0.02105366811156273
0.0,0.0,96.0,1.0,312.28082275390625,139.23443603515625,-0.012535006739199162
0.0,0.0,97.0,1.0,315.1717834472656,139.3463134765625,-0.012430212460458279
0.0,0.0,98.0,1.0,281.8418884277344,122.12114715576172,0.06300703436136246
0.0,0.0,99.0,1.0,299.29766845703125,103.13128662109375,0.014779054559767246
0.0,0.0,100.0,1.0,351.1690979003906,101.49921417236328,0.018092935904860497
0.0,0.0,101.0,1.0,366.43670654296875,87.78573608398438,0.05474214628338814
0.0,0.0,102.0,1.0,352.4401550292969,101.02317810058594,0.020355848595499992
0.0,0.0,103.0,1.0,332.1853942871094,130.23080444335938,-0.0225509125739336
0.0,0.0,104.0,1.0,338.1371765136719,132.28651428222656,-0.01927812583744526
0.0,0.0,105.0,1.0,342.10406494140625,134.6884002685547,-0.015215636231005192
0.0,0.0,106.0,1.0,358.394775390625,93.45353698730469,0.019635025411844254
0.0,0.0,107.0,1.0,349.8892517089844,89.12504577636719,0.010169711895287037
0.0,0.0,108.0,1.0,354.88262939453125,90.5407943725586,0.014692960307002068
0.0,0.0,109.0,1.0,362.1717834472656,79.81951904296875,0.0460859090089798
0.0,0.0,110.0,1.0,334.7461242675781,92.14508056640625,0.003269325476139784
0.0,0.0,111.0,1.0,368.81585693359375,144.93385314941406,0.04411279037594795
0.0,0.0,112.0,1.0,346.42730712890625,138.90731811523438,-0.00694865919649601
0.0,0.0,113.0,1.0,356.78289794921875,88.39468383789062,0.019286952912807465
0.0,0.0,114.0,1.0,343.4027099609375,89.36714172363281,0.006397358141839504
0.0,0.0,115.0,1.0,344.05029296875,86.47372436523438,0.006905621849000454
0.0,0.0,116.0,1.0,346.53704833984375,68.9386978149414,0.026346644386649132
0.0,0.0,117.0,1.0,360.71380615234375,92.14004516601562,0.026067275553941727
0.0,0.0,118.0,1.0,344.8437805175781,138.39791870117188,-0.008846472017467022
0.0,0.0,119.0,1.0,339.7747802734375,136.66783142089844,-0.014056938700377941
0.0,0.0,120.0,1.0,336.1584777832031,135.9076385498047,-0.016734397038817406
0.0,0.0,121.0,1.0,332.0068359375,135.77357482910156,-0.019059672951698303
0.0,0.0,122.0,1.0,332.74676513671875,140.9064178466797,-0.023204801604151726
0.0,0.0,123.0,1.0,332.05419921875,135.8521270751953,-0.018751846626400948
0.0,0.0,124.0,1.0,339.7709655761719,136.67103576660156,-0.013874663971364498
0.0,0.0,125.0,1.0,341.3224792480469,139.78167724609375,-0.016504338011145592
0.0,0.0,126.0,1.0,371.50787353515625,125.12711334228516,0.06303063780069351
0.0,0.0,127.0,1.0,342.4345397949219,137.56716918945312,-0.01096139196306467
0.0,0.0,128.0,1.0,355.8148193359375,73.36981964111328,0.03566032648086548
0.0,0.0,129.0,1.0,351.13323974609375,86.35821533203125,0.013240784406661987
0.0,0.0,130.0,1.0,335.983154296875,87.45952606201172,0.0033470646012574434
0.0,0.0,131.0,1.0,336.7069091796875,67.01689147949219,0.02035338059067726
0.0,0.0,132.0,1.0,370.72760009765625,106.44913482666016,0.06811726838350296
0.0,0.0,133.0,1.0,370.7818603515625,134.92401123046875,0.055282365530729294
0.0,0.0,134.0,1.0,336.49713134765625,101.14904022216797,0.014596032910048962
0.0,0.0,135.0,1.0,361.2161865234375,156.91671752929688,0.017230484634637833
0.0,0.0,136.0,1.0,348.00592041015625,102.0367202758789,0.014038468711078167
0.0,0.0,137.0,1.0,345.15679931640625,102.26571655273438,0.012353192083537579
0.0,0.0,138.0,1.0,344.22314453125,139.39279174804688,-0.011541890911757946
0.0,0.0,139.0,1.0,339.726806640625,167.5363311767578,-0.01664603315293789
0.0,0.0,140.0,1.0,350.69952392578125,163.5835418701172,-0.001811185386031866
0.0,0.0,141.0,1.0,355.5842590332031,160.9649658203125,0.006630668416619301
0.0,0.0,142.0,1.0,342.2439270019531,102.1816635131836,0.012075337581336498
0.0,0.0,143.0,1.0,339.43060302734375,101.77393341064453,0.012948841787874699
0.0,0.0,144.0,1.0,337.54412841796875,101.48741149902344,0.014357897453010082
0.0,0.0,145.0,1.0,339.46142578125,99.22526550292969,0.01346504408866167
0.0,0.0,146.0,1.0,342.4804382324219,98.60716247558594,0.012746714055538177
0.0,0.0,147.0,1.0,345.4983215332031,98.57689666748047,0.013140971772372723
0.0,0.0,148.0,1.0,348.4806823730469,99.10499572753906,0.014474612660706043
0.0,0.0,149.0,1.0,350.3652648925781,99.86599731445312,0.016201630234718323
0.0,0.0,150.0,1.0,369.0445556640625,96.14429473876953,0.06326975673437119
0.0,0.0,151.0,1.0,349.8475646972656,101.74281311035156,0.016176272183656693
0.0,0.0,152.0,1.0,365.4489440917969,152.23211669921875,0.030605444684624672
0.0,0.0,153.0,1.0,337.4267272949219,100.31768798828125,0.014206659980118275
0.0,0.0,154.0,1.0,345.5807189941406,165.71348571777344,-0.010460380464792252
0.0,0.0,155.0,1.0,336.20941162109375,135.93577575683594,-0.016458168625831604
0.0,0.0,156.0,1.0,337.323486328125,140.392333984375,-0.020134212449193
0.0,0.0,157.0,1.0,344.9237365722656,136.89691162109375,-0.010818214155733585
